Price,Locality,Condition,Text,Transmission,Fuel
4999.0,Żejtun,Used - like new,🚨🚨Cars For Sale 🚨🚨 📞📞77226444 ,Manual,Unknown
2750.0,Munxar,Used - Good,Renault Megane Scenic 16 Petrol Automatic . Ta Malta. Cheap License. Car is in GOZO!!! Plate is garaged. Ta Malta . Vrt every 2 years. 96k km in the clock .  Viewing any time in Munxar Gozo !!!! See less,Automatic,Petrol
4800.0,Birkirkara,Used - Good,Suzuki swift Suzuki swift in good condition 2008 ,Manual,Unknown
4500.0,Birkirkara,Used - Good,"99882200 FOR SALE MOB 📞📞 99882200 TOYOTA VITZ AUTOMATIC 2006 MODEL 10 PETROL TAL JAPAN FULL EXTRAS IN A VERY GOOD CONDITION FROM INSIDE &OUTSIDE one owner VERY ECONOMICAL BARGAIN PRICE €4,500 See less",Automatic,Petrol
3000.0,Marsaskala,Used - Fair,Car for sale If you are interested dm me ,Manual,Unknown
5000.0,Sliema,Used - Fair,Renalt megan It's a very nice car to drive ,Manual,Unknown
2600.0,Gżira,Used - Fair,2011 Opel/Vauxhall corsa For sale UK import Corsa. License 285 capped at 359. ,Manual,Unknown
4500.0,Valletta,Used - Good,Toyota vitz 2006 automatic JAPAN Toyota Vitz 2006 Automatic JAPAN in a very good condition and work very good👍 car service every six months. Consider Part exchange with Japanese cars like honda fit & Toyota See less,Automatic,Unknown
2850.0,Iklin,Used - Fair,Daihstdu sirion only 70k Daihatsu Sirion  ONLY 70K Fullextras Aircondion One previouse owner 2keys remote central lock Vrt2024 Call 79981572 See less,Manual,Unknown
4900.0,Attard,Used - Good,"2006 Suzuki swift auto Suzuki Swift Auto  Good Condition 🔝 ✔️Price €4900 ✔️Hire Purchase Yes ✔️Auto ✔️Petrol 1300cc  Extras: ✔️Air Condition ✔️Coded Interior ✔️Alloy Wheels and more…  Not to be missed 👌  Available at Alan Motors, Zebbug road Attard.  Contact 77333322 or 20994723  https://www.facebook.com/alanmotorsmalta  http://alanmotors.com.mt/ See less",Manual,Petrol
2600.0,Gżira,Used - Fair,2011 Vauxhall corsa Licence 285 ,Manual,Unknown
27000.0,Swieqi,Used - like new,Ford Kuga 2021 Kuga ST LINE FULL EXTRAS  LIKE NEW  NEW FROM THE AGENT IN MALTA MAKE 2021 RESGISTRATION DECEMBER 2021 8K KM ONLY! SELLING FOR TRAVEL PURPOSE See less,Manual,Unknown
2000.0,Paola,Used - Fair,TOYOTA STARLET AUTO MATIC FULL EXTRAS DIESEL TURBO TEL 99745708,Manual,Diesel
2000.0,Paola,Used - Fair,TOYOTA STARLET AUTO MATIC FULL EXTRAS DIESEL TEL 99745708,Manual,Diesel
6750.0,Marsaskala,Used - Good,"Suzuki Swift - Japan Import - Manual - Key Less - ☎️99833255☎️ Suzuki Swift, Manual, Japan Import, 1 Owner, Engine 1.3 petrol, 110,000Kms!!, Year 2012, Key Less Go, Parking Sensors, Reverse Camera, Full Extras (A/C, Power steering, Electric Windows, Central Lock, Electric Mirrors), Cheap License €339Max!! Very Good Condition!! See less",Manual,Petrol
5800.0,Żebbuġ,Used - Fair,Nissan Micra Auto Nissan Micra  Automatic 12hp Petrol ⛽️  2012 Model✔️✔️ Only 71000km ✅️✅️✅️ Japan import  Push start  Parking sensors  Full Extras Mobile 📱 99497951 See less,Automatic,Petrol
3500.0,Fgura,Used - Good,Daihatsu sirion very good condition Daihatsu sirion year 2007 engine 10 petrol manual full extras very good condition mob 99653129 ,Manual,Petrol
2300.0,Ħamrun,Used - Good,Car dalhatsu Good condision ,Manual,Unknown
