Title,Price,Locality,Description,Condition
🚨🚨Cars For Sale 🚨🚨,4999.0,Żejtun,📞📞77226444 ,Used - like new
Renault Megane Scenic 16 Petrol Automatic . Ta Malta. Cheap License. Car is in GOZO!!!,2750.0,Munxar,Plate is garaged. Ta Malta . Vrt every 2 years. 96k km in the clock .  Viewing any time in Munxar Gozo !!!! See less,Used - Good
Suzuki swift,4800.0,Birkirkara,Suzuki swift in good condition 2008 ,
99882200,4500.0,Birkirkara,"FOR SALE MOB 📞📞 99882200 TOYOTA VITZ AUTOMATIC 2006 MODEL 10 PETROL TAL JAPAN FULL EXTRAS IN A VERY GOOD CONDITION FROM INSIDE &OUTSIDE one owner VERY ECONOMICAL BARGAIN PRICE €4,500 See less",
Car for sale,3000.0,Marsaskala,If you are interested dm me ,
Renalt megan,5000.0,Sliema,It's a very nice car to drive ,
2011 Opel/Vauxhall corsa,2600.0,Gżira,For sale UK import Corsa. License 285 capped at 359. ,
Toyota vitz 2006 automatic JAPAN,4500.0,Valletta,Toyota Vitz 2006 Automatic JAPAN in a very good condition and work very good👍 car service every six months. Consider Part exchange with Japanese cars like honda fit & Toyota See less,
Daihstdu sirion only 70k,2850.0,Iklin,Daihatsu Sirion  ONLY 70K Fullextras Aircondion One previouse owner 2keys remote central lock Vrt2024 Call 79981572 See less,
2006 Suzuki swift auto,4900.0,Attard,"Suzuki Swift Auto  Good Condition 🔝 ✔️Price €4900 ✔️Hire Purchase Yes ✔️Auto ✔️Petrol 1300cc  Extras: ✔️Air Condition ✔️Coded Interior ✔️Alloy Wheels and more…  Not to be missed 👌  Available at Alan Motors, Zebbug road Attard.  Contact 77333322 or 20994723  https://www.facebook.com/alanmotorsmalta  http://alanmotors.com.mt/ See less",
2011 Vauxhall corsa,2600.0,Gżira,Licence 285 ,
Ford Kuga 2021,27000.0,Swieqi,Kuga ST LINE FULL EXTRAS  LIKE NEW  NEW FROM THE AGENT IN MALTA MAKE 2021 RESGISTRATION DECEMBER 2021 8K KM ONLY! SELLING FOR TRAVEL PURPOSE See less,
TOYOTA STARLET AUTO MATIC FULL EXTRAS DIESEL TURBO TEL 99745708,2000.0,Paola,,
TOYOTA STARLET AUTO MATIC FULL EXTRAS DIESEL TEL 99745708,2000.0,Paola,,
Suzuki Swift - Japan Import - Manual - Key Less - ☎️99833255☎️,6750.0,Marsaskala,"Suzuki Swift, Manual, Japan Import, 1 Owner, Engine 1.3 petrol, 110,000Kms!!, Year 2012, Key Less Go, Parking Sensors, Reverse Camera, Full Extras (A/C, Power steering, Electric Windows, Central Lock, Electric Mirrors), Cheap License €339Max!! Very Good Condition!! See less",
Nissan Micra Auto,5800.0,Żebbuġ,Nissan Micra  Automatic 12hp Petrol ⛽️  2012 Model✔️✔️ Only 71000km ✅️✅️✅️ Japan import  Push start  Parking sensors  Full Extras Mobile 📱 99497951 See less,
Daihatsu sirion very good condition,3500.0,Fgura,Daihatsu sirion year 2007 engine 10 petrol manual full extras very good condition mob 99653129 ,
Car dalhatsu,2300.0,Ħamrun,Good condision ,
Car for Sale - Excellent Condition,4400.0,Żabbar,Peugeot 107 Urban  One Owner Km 75571 Call 79066157  Price Negotiable ,
Car,1450.0,Marsaskala,Interested people can contact due to the number 99078087 ,
🚘 MERCEDES-BENZ VANEO (7-Seater – Wheelchair Ready) 🚘,5450.0,Marsa,"🚘 MERCEDES-BENZ VANEO (7-Seater – Wheelchair Ready) 🚘  💥 IMMACULATE CONDITION   💥 MUST BE SEEN             ● 2003 ● 1689cc ● Automatic ● Diesel ● Estate- 7 SEATER ● Blue  ❎  Extras: Reverse Camera, Air Condition, ABS, Central Locking, Electric Mirrors, Electric Windows, Power Steering, Immobilizer, Radio, Fabric Seats & more.  🧼 FREE Car Wash by @Ta’ Maġġi Car Wash when purchasing your future car with us!  Price: € 5,450  📲Give us a call on 99470098 or 79888400 for more informa2 tion and viewing. ✅Part exchange accepted! ✅FINANCE AVAILABLE @50% deposit and the pending amount in UP TO 2 years. ✅Terms & Conditions apply.  See less",Used - like new
Ford puma 2020,23000.0,Birkirkara,Ford puma ST-Line 2020 Immaculate condition 27k Miles only❗️ Automatic 1.0-litre Ecoboost engine Just had a service  Monthly payments accepted PM for more info. See less,
Smart Fortwo Passion,5950.0,San Ġiljan,101k miles  diesel  very good engine would give close to 500k klms in very good running order 7949 9229 See less,
Smart forfour,333333.0,Paola,Japan Import🇯🇵🇯🇵🇯🇵 New condition car 🚗 ✨️  Warranted car 💯 21000km only Year 2016 🩶🩶🩶 ARRAVING SOON IN 2 WEEKS 💥💥💥 79042184🤳🤳🤳🤳🤳📶 See less,
2003 PEGUEOT 206 xline5 14 hdi,1600.0,Żebbuġ,"PEGUEOT 206 XLINE5 14 HDI ((( WITH PASS FROM VRT)))  ((U  MODI MINN VRT UKOLL ))))DIESEL TA MALTA WITH POWER STERING  , CENTRAL ELETRIC WINDOWS ONLY .)) PRICE 1,600 EURO   ))) MILEAGE =149,697 miles)      5 DOOR WITH 5 SEATER  WITH MANUAL GEARBOX  (((( ENGINE 14 HDI DIESEL)) ((EXTRAS ONLY WITH POWER STERING  , CENTRAL ELETRIC WINDOWS.ONLY )))   YEAR 2003 EVERTHING WORKS PERFECT  ((((((((((( 5 door with 5 SEATER ))))))))))  ghall bejgh IN DRIVING VERY PERFECT  WITH LICENSIE PAID TILL JANUARY  2023 WITH CHEAP LICENSIE =WITH OLD REGISTRATION LICENCES)) MESSAGE ONLY IF YOU VERY INTERESTED OF  PEGUEOT 206 14 HDI  MESSAGI NACCETA BISS JEKK VERA INTERSATI FUQ  PEGUEOT 206 14 HDI ((((((LICENSIE ONLY 214 EURO FIXED FOREVER ))))))) ((((((LICENSIE ONLY 214 EURO FIXED FOREVER ))))))) REGISTRADE IN MALTA 19-02-2004 IN  GOOD CONDITION FOR VIEWING PLS I SEND THE MESSAGE FACEBOOK AND I TAKE  ADDRESS ETC CONTACT 79335178,77585213 MORE CARS FIND US FACEBOOK PAGE OWEN AUTO DEALER MALTA  ((WITH TA MALTA  WITH CHEAP LICENSIE =WITH OLD REGISTRATION LICENCES))) WITH NO RUST  See less",
Renault Megane,2500.0,Swieqi,"Year 2007, In excellent condition Diesel, manual trasmission I'm selling it just because i'm leaving Malta See less",
Toyota Vitz ( Tad Dema ) MANUAL,3500.0,Żabbar,2004 Toyota vitz MANUAL Japan 🇯🇵 import  Used as an everyday car now selling it as bought a new car Same owner since bought   Fitted extras  Ac Electric windows Central lock Power steering  Full led front head lights Aftermarket kenwood bluetooth handsfree stereo  Also 3 spare keys available   Price is negotiable  Licensed till end of July 23  Call 99279418 See less,Used - Good
Toyota Celica,5500.0,Tarxien,Toyota Celica 190bhp Red leather interior Sunroof Low License ,
Chevrolet spark 2011 local car manual,3600.0,Qormi,Chevrolet spark ta Malta manual in very good condition for more info call 77773019 part exchange accepted See less,
1998 DAIHASTU terios,3000.0,Żebbuġ,"DAIHASTU TERIOS  WITH FULL EXTRAS  WITH MANUAL GEARBOX  WITH 1OWNER  WITH JAPAN IMPORT BUT   WITH OLD REGISTRATION LICCENSIE  ENGINE 13 PETROL  BIL LICENSIJA LANTIKA  ((WITH  AIR CONDITION  WORKS PERFECT  ))))   ((( for now pls call and message only on 79335178 name godwin to make appointment to see the car etc ))))) Car is in VERY  GOOD CONDITION  EVERTHING WORKS PERFECT  (((PRICE  3,000 EURO))) YEAR 1998 LICENSE ONLY 117 FIXED FOREVER   LICENSJA  WITH MANUAL GEARBOX MILEAGE 230,562 KM REGISTRADE IN MALTA IN 19-1-2007  FULL EXTRAS WITH AIR CONDITION ,WITH POWER STEERING  , ELETRIC WINDOWS , AND CENTRAL LOCK ONLY  call 79335178&77585213 MORE CARS FIND US FACEBOOK PAGE OWEN AUTO DEALER TO VIEW THE CAR PLS SEND FACEBOOK MSG OR PHONE 79335178 NAME GODWIN AND MEET See less",
Opel Tigra - Cabriolet + Read Leather - Manual,3000.0,Sliema,Selling my Opel Tigra - 2009.  93 000 km - 1.4 Petrol - Manual License is paid until November 2023  Drives very well and everything works. The exterior is not perfect but  it a great car for that price. Amazing for summer 👌  Come to see in Sliema until Wednesday then I fly to Canada for three weeks. See less,Used - Fair
Citroen C3,2250.0,Gżira,Hello for everyone  I can send video from inside as well These are my proper maintenance everything is writing as you see the car is in so good condition please unless no need different information don’t contact thank you   Damage in bonnet(but i have spare)  17 May  Oil Oil filter Ac filter Air filter  24 June Clutch and brake pads changed  20 July Timing belt and kit Thermos and sensor changed  Antifreeze  Head gasket changed   1 September  Oil Oil filter   30 January 2023 Oil and oil filter Air filter AC filter Break pads  14 March Front Both Tyres changed  27 march Antifreeze changed  Oil and oil filter Maintenance general   129000km 2009 model Till july paid licence 500 Vrt till 2024 july paid Manual  -AIRCONDITION in perfect condition… -POWER STEERING… -REMOTE CENTRAL LOCKING... -ELECTRIC WINDOWS… -SPARE KEY… -Radio and USB See less,Used - Good
2004 Toyota vitz,3000.0,Fgura,"Toyota Vitz 2004,  1 owner, 3-door,  Manual, low mileage,  Very good condition,  Rarely used,  Licensed in 2012.  Call 79869594.  See less",
Toyota Vitz 2002,3400.0,Mosta,Licenzja 117e Automatic  For more info call 77223765 ,Used - like new
Ford Fiesta for sale,2000.0,Mosta,Ford Fiesta  Diesel 16tdci Milage 160k 2door Full extras   Lic and VRT due Jan 2024. Might consider part exchange and will also consider lower offers Call on 99209607 See less,
2005 1.4 Diesel Ta Malta peugeot 307,2100.0,Żurrieq,Cheap License (Euro 176 Max) Paid till June 2023 Central Lock  Air-condition  Bargain Price to sell  Call only on 77521521   See less,
1992 Nissan sunny,1500.0,Żebbuġ,"NISSAN SUNNY BIL POWER STERING WITH POWER STERING TA MALTA PRICE 1,500 EURO ))) WITH LICENSIE PAID TILL MAY 2023 5 DOOR WITH MANUAL GEARBOX (((( ENGINE 14 PETROL)) (( EXTRAS WITH POWER STERING , ELETRIC WINDOWS , CENTRAL LOCK ONLY ))) BUT WITH NO AIR CONDITION AND YEAR 1992 MILEAGE=( 117,135 miles) EVERTHING WORKS PERFECT ghall bejgh WITH OLD REGISTRATION LICCENSIE ((((((LICENSIE ONLY 156 EURO FIXED FOREVER ))))))) ((((((LICENSIE ONLY 156 EURO FIXED FOREVER ))))))) REGISTRADE IN MALTA 11-12-1992 WITH TA MALTA IN VERY GOOD CONDITION FOR VIEWING PLS I SEND THE MESSAGE FACEBOOK AND I TAKE ADDRESS ETC CONTACT 79335178,77585213 MORE CARS FIND US FACEBOOK PAGE OWEN AUTO DEALER MALTA  See less",
Toyota Vitz Automatic,3400.0,Birkirkara,"Toyota Vitz Automatic with /A/c, electric windows, double airbag, ABS ,stereo ecc ideal for beginners cheap license e117 only part exchange with bigger automatic like rav4 , spacio , accepted good condition for age only 180k kms, not new have some dents and scratches no time wasters plsss See less",
2005 Toyota passo,2900.0,Swieqi,"Toyota Passo 2005 Japan Import. Registered in Malta. Location: St. Julians  ✅ Petrol engine 1.0 economical, cheapest license all paid till October. ✅ 173,100 km ✅ Automatic transmission works perfectly  ✅ Air condition  ✅ Full extras ✅ Factory tinted rear windows (not some cheap foil) ✅ JVC Bluetooth media + speaker phone ✅ Sport seat covers - minor exterior bump - minor rust buble on the exterior   📲 9974 3907 (WhatsApp available) See less",
Ford Focus hatchback Diesel,1700.0,Żabbar,Ford Focus ta' Malta 2003. One owner. Low Road Licence. Diesel. Price negotiable pm or call on 79992607. See less,
Chevrolet spark 37000km 1 owner,3999.0,Żurrieq,Chevrolet spark  Only 37000km !! Ta malta  2014  12 petrol  License till May cheap  Just service Today  Only 1 owner See less,
toyota passo 2011 Auto,4800.0,Santa Venera,toyota passo 2011 automatic transmission  good condition full extras ‼️ Part exchange welcome ✅  ,Used - Good
Smart Car Call 99452596,2100.0,Għargħur,Call on this number (99452596) ,Used - Good
2002 Ford focus,3000.0,Żebbuġ,"FORD FOCUS  BIL 1 OWNER WITH 1 OWNER  WITH TDDI ENDURA FORD 18 DIESEL ORIGINAL ENGINE FROM FACTORY  TA MALTA WITH MANUAL GEARBOX WITH FULL SERVICE DONE 13-4-2022  PLUS  WITH BRAND NEW KIT CLAUCH AND MANY MORE WITH CHEAP LICENSIE =WITH OLD REGISTRATION LICENCES)) MESSAGE ONLY IF YOU VERY INTERESTED OF FORD FOCUS. MESSAGI NACCETA BISS JEKK VERA INTERSATI FUQ IL FORD FOCUS. WITH MILEAGE((181,667 KM))  (((PRICE 3,000 EURO))) BODY, INTERIOR ,IN DRIVING VERY PERFECT  EVERTHING WORKS PERFECT START AND DRIVE ((((((((((( 5 door with 5 SEATER )))))))))) ENGINE 18 DIESEL ghall bejgh ((((((((YEAR 2002))))))) MANUAL GEARBOX ((FULL EXTRAS ,AIR CONDITION ,POWER STEERING,ELECTRIC WINDOWS, CENTRALOCK ))) ((((((LICENSIE ONLY 250 EURO FIXED FOREVER ))))))) ((((((LICENSIE ONLY 250 EURO FIXED FOREVER ))))))) REGISTRADE IN MALTA 23-10-2002 IN VERY MINT CONDITION FOR VIEWING PLS I SEND THE MESSAGE FACEBOOK AND I TAKE  ADDRESS ETC CONTACT 79335178,77585213 MORE CARS FIND US FACEBOOK PAGE OWEN AUTO DEALER MALTA  ((WITH TA MALTA  WITH CHEAP LICENSIE =WITH OLD REGISTRATION LICENCES))) WITH NO RUST  See less",
"2012 Suzuki For SALE, price is negotiable.",6000.0,Marsa,Message for more information and viewing. ,
Kia Ceed (1000e Deposit),1000.0,San Pawl il-Baħar,"Kia Ceed Engine petrol, manual Full extras with AC  Deposit 1000euro and monthly payments accepted  Bugibba, 7759-8480 See less",
2007 Honda civic. Priced to sell,2400.0,Naxxar,"2007 Honda civic with 22 diesel engine, manual gearbox. License is 370 and need to be paid. Car in good condition and ready for use. See less",
1993 Hyundai excel,2500.0,Żebbuġ,"HYUNDAI EXCEL WITH 1 OWNER AND  VERY MINT CONDITION                                      WITH GENIUNE MILEAGE = 32,307KM ))))  PRICE 2,500 EURO   ))) 5 DOOR WITH MANUAL GEARBOX (((( ENGINE 13 PETROL) ((WITH NO EXTRAS = MEAN WITH NO  AIR CONDITION  AND WITH NO POWER STERING ,  )))  YEAR 1993 EVERTHING WORKS PERFECT   ghall bejgh PREVIOUSLY OWNER VERY CAREFULLY  ((((((LICENSIE ONLY 117 EURO FIXED FOREVER ))))))) ((((((LICENSIE ONLY 117 EURO FIXED FOREVER ))))))) REGISTRADE IN MALTA 11-3-1993  WITH TA MALTA IN VERY GOOD CONDITION FOR VIEWING PLS I SEND THE MESSAGE FACEBOOK AND I TAKE  ADDRESS ETC CONTACT 79335178,77585213 MORE CARS FIND US FACEBOOK PAGE OWEN AUTO DEALER MALTA See less",
Toyota windy auto tan99. Vrt kull sentejn,2800.0,Żejtun,Ta gewwa kannela mil fabrika fija kollox jahdem. Part exchange accepted mob.79028002 ,
Smart 451 limited edition,5900.0,Ħamrun,Smart 451 limited edition In immaculate condition. Recently serviced Always garaged ,
1996 Hyundai accent,1500.0,Birgu,13 engine Neon Blue inside Manual License ends January 2024. ,
Toyota auris 2007,3800.0,Qormi,Manual ✅ Licence paid✅ Ac✅❄️ Mint condition✅ Partexchange accepted✅ 79029933 ,
Fiat Punto 2002,1600.0,Attard,Car has 2 previous owners and has coil overs. Body in excellent condition. Very good for beginners. ,
2003 Citroen C3 (local) ta' malta,2700.0,Swieqi,"Good Condition 🔝 License €100💷  ✔️Price €2700 ✔️Hire Purchase Yes ✔️YOM 2003 ✔️Manual ✔️Petrol  Extras: ✔️Air Conditioning ✔️Power Steering ✔️Electric Windows and more…  Not to be missed 👌  Available at Alan Motors, Zebbug road Attard.  Contact 77333322 or 20994723  https://www.facebook.com/alanmotorsmalta  http://alanmotors.com.mt/ See less",
Vauxhall Opel Astra (convertible),3990.0,Birkirkara,2008 model full extras 1900ctdi diesel engine manual transmission.. Convertible with twin top hard top roof..  Deposit and monthly payments directly with us accepted/ foreigners welcome   Sonic Auto Dealer b’kara:99440022 See less,Used - Good
1999 Toyota starlet,2600.0,Żebbuġ,"TOYOTA STARLET WITH AUTOMATIC  GEARBOX (((( ENGINE 15 DIESEL))  WITH AIR CONDITION AND WITH POWER STERING     PRICE 2,600 EURO   ))) ((((((LICENSIE ONLY 214 EURO FIXED FOREVER ))))))) 5 DOOR ((EXTRAS WITH  AIR CONDITION  AND WITH POWER STERING , ONLY )))  WITH JAPAN IMPORT YEAR 1999 EVERTHING WORKS PERFECT  ((((((((((( 5 door with 4 SEATER ))))))))))  ghall bejgh  MILEAGE((203,154 KM)) REGISTRADE IN MALTA IN 30-8-2002 IN VERY GOOD CONDITION FOR VIEWING PLS I SEND THE MESSAGE FACEBOOK AND I TAKE  ADDRESS ETC CONTACT 79335178,77585213 MORE CARS FIND US FACEBOOK PAGE OWEN AUTO DEALER MALTA. See less",
Toyota Vitz 2006 Auto,4750.0,Paola,"Ac Power windows  power steering  Petrol 1,0 108 km  Contact 99230193 or visit our showroom at wbautomotivemalta poala  See less",Used - Fair
